31;ZA5274_Varkh3educ;3.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS;Welchen allgemeinbildenden Schulabschluss hat das drittälteste Kind?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein drittes Kind außer Haus, drittes Kind außer Haus ist unter 15 Jahre alt (laut Geburtsjahr in kh3yborn)&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&B Schule beendet ohne Abschluss&C Volks- / Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse&D Mittlere Reife, Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse&E Fachhochschulreife (Abschluss einer Fachoberschule etc.)&F Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife)&Anderen Schulabschluss, und zwar: _______&A Noch Schüler;;;;
32;ZA5274_Varkh4sex;GESCHLECHT, 4.KIND, AUSSER HAUS         ;Sagen Sie mir bitte die Geburtsjahre und das Geschlecht Ihrer Kinder, die nicht hier in Ihrem Haushalt leben. Beginnen Sie bitte mit dem ältesten Kind.;&Geschlecht des vierten Kindes;&Datenfehler&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein viertes Kind außer Haus& 2016 zusätzlich: keine Angabe über Anzahl der Kinder außer Haus (Code -9 in dk06)&Keine Angabe&Nicht erhoben 1980-1998&männlich&weiblich;1 - Geschlecht des vierten Kindes;;;
33;ZA5274_Varkh4age;ALTER, 4.KIND, AUSSER HAUS              ;;;;;;;
34;ZA5274_Varaq02;WOHNFLAECHE IN QUADRATMETERN            ; Wie viele Quadratmeter Wohnfläche hat Ihre Wohnung / Ihr Haus ungefähr?;;&Keine Angabe&Weiß nicht&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018;;;;
35;ZA5274_Varae03;WOHNUMG.: INDUSTRIE-, AUTOABGASBELASTUNG; Und wie sieht das mit Geruchsbelästigungen durch Industrie- und Autoabgase oder ähnliches hier in Ihrer Wohnumgebung aus? Wie stark fühlen Sie sich dadurch gestört oder belästigt?;;&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&Sehr stark,&stark,&mittel,&wenig oder&überhaupt nicht?;;;;
36;ZA5274_Varxs13;ZAHL DER KONTAKTVERSUCHE, ANDERE        ;;;;;;;
37;ZA5274_Varhh7inca;7.HAUSH.PERSON: EIGENES EINKOMMEN?      ;Sagen Sie mir bitte noch für jede Person im Haushalt, ob sie über ein eigenes Einkommen verfügt.;&Eigenes Einkommen der siebten Person im Haushalt;&Weniger als sieben Personen im Haushalt&Keine Angabe&Nicht erhoben 1988-2018&Ja&Nein;1 - Eigenes Einkommen der siebten Person im Haushalt;;;
38;ZA5274_Varhh8kin;8.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.;Bitte geben Sie mir den Verwandtschaftsgrad der achten Person im Haushalt an.;&Verwandtschaftsgrad der achten Person im Haushalt;&Weniger als acht Personen im Haushalt&Keine Angabe&Verweigert&<Ab 1984:> Ehemann, Ehefrau&<Ab 1984:> Partner, Partnerin&Eigenes (leibliches) Kind (Sohn, Tochter)&Stief-, Adoptiv- und Pflegekind (Kind meines Ehemannes / meiner Ehefrau / meines Partners)&Bruder, Schwester&Stiefbruder, Stiefschwester <ab 1988: auch Adoptivgeschwister>&Eigener Enkel / eigene Enkelin&Vater, Mutter&<Ab 1990:> Stiefmutter, Stiefvater&Schwiegervater, Schwiegermutter&Schwiegersohn, Schwiegertochter&<Ab 1984:> Schwager, Schwägerin&Großvater, Großmutter&Großeltern meines Ehemannes / meiner Ehefrau / meines Partners&Andere verwandte oder verschwägerte Person (Onkel, Tante, Neffe, Nichte usw.)&Andere, mit mir nicht verwandte Person&<Bis 1982:> Ehegatte / Partner;1 - Verwandtschaftsgrad der achten Person im Haushalt;;;
39;ZA5274_Vardm06;LAND, WO BEFRAGTER IN DER JUGEND LEBTE  ;Wo haben Sie während Ihrer Jugendzeit vorwiegend gelebt?;;&Datenfehler&Im Gebiet des heutigen Deutschland oder in den früheren deutschen Ostgebieten aufgewachsen (Codes 1-18 in dg10)&Keine Angabe&Nicht erhoben 1980-2004&Anderes Land;;;;
40;ZA5274_Varfdm01;HERKUNFTSLAND: VATER                    ;Und jetzt einige Fragen zu Ihren Eltern. In welchem Land ist Ihr Vater geboren?;;&Nicht bestimmbar&Keine Angabe&Weiß nicht&Nicht erhoben 1980-1994, 1998-2004, 2008-2012&Frühere deutsche Ostgebiete (z.B. Schlesien, Ostpreußen)&Anderes Land;;;;
41;ZA5274_Varxr24;ONLINER: FRAGEBOGEN ONLINE AUSFUELLEN?  ;Sie hatten vorher gesagt, dass Sie das Internet (<2016:> privat) nutzen.  Können wir davon ausgehen, dass es für Sie dann in Ordnung ist, den Fragebogen online auszufüllen?;;&Datenfehler&Befragter möchte nicht an Internetumfrage teilnehmen (Code 2 in xr21 und Code 2 in xr22) oder Befragter ist kein Internetnutzer (Code 6, -10, -9 in xr20) oder hat der Datenverknüpfung nicht zugestimmt (Code 3 in xr23)&Nicht erhoben 1980-2014&Onlinefragebogen ist für den Befragten in Ordnung&Der Befragte möchte lieber einen Papierfragebogen;;;;
42;ZA5274_Varxs01;INTERVIEW M. BEFR. ALLEIN DURCHGEFUEHRT?;;&Interview mit Befragungsperson allein durchgeführt;&Keine Angabe&Nicht erhoben 1991, 1992&Nein&Ja;1 - Interview mit Befragungsperson allein durchgeführt;;;
43;ZA5274_Varxs03;KINDER BEIM INTERVIEW ANWESEND?         ;;&Ehegatte / Partner anwesend&Kinder anwesend&Andere Familienangehörige anwesend&Sonstige Personen anwesend, und zwar: ________;&Keine Angabe&Nicht erhoben 1991, 1992&Nein bzw. Interview mit Befragtem allein durchgeführt (Code 1 in xs01)&Ja;2 - Kinder anwesend;;;
44;ZA5274_Varxs05;SONSTIGE PERSONEN BEIM INTERV. ANWESEND?;;&Ehegatte / Partner anwesend&Kinder anwesend&Andere Familienangehörige anwesend&Sonstige Personen anwesend, und zwar: ________;&Keine Angabe&Nicht erhoben 1991, 1992&Nein bzw. Interview mit Befragtem allein durchgeführt (Code 1 in xs01)&Ja;4 - Sonstige Personen anwesend, und zwar: ________;;;
45;ZA5274_Varxr07;ANWESENHEIT DES BEFRAGTEN AM MONTAG     ;An welchem der letzten vier Tage waren Sie in der Zeit, in der ich heute bei ihnen war, zu Hause? Wie war das am ..., am ... und am ...?;&Montag&Dienstag&Mittwoch&Donnerstag&Freitag&Samstag&Sonntag;&Keine Angabe&Nicht erhoben 1980-1990, 1994-2018&Anwesend: ja&Anwesend: nein;1 - Montag;;;
46;ZA5274_Varxr08;ANWESENHEIT DES BEFRAGTEN AM DIENSTAG   ;An welchem der letzten vier Tage waren Sie in der Zeit, in der ich heute bei ihnen war, zu Hause? Wie war das am ..., am ... und am ...?;&Montag&Dienstag&Mittwoch&Donnerstag&Freitag&Samstag&Sonntag;&Keine Angabe&Nicht erhoben 1980-1990, 1994-2018&Anwesend: ja&Anwesend: nein;2 - Dienstag;;;
47;ZA5274_Vargmpdm01;HERKUNFTSLAND: GROSSMUTTER, VATERSEITS  ;Und die Mutter Ihres Vaters?;;&Nicht bestimmbar&Keine Angabe&Weiß nicht&Nicht erhoben 1980-1994, 1998-2004, 2008-2014, 2018&Frühere deutsche Ostgebiete (z.B. Schlesien, Ostpreußen)&Anderes Land;;;;
48;ZA5274_Varxt08;INTERVIEWENDE: MINUTEN                  ;;;;;;;
49;ZA5274_Varpv22;WAHRSCHEINL.: BUENDNIS 90-GRUENE WAEHLEN; Es gibt eine ganze Reihe von politischen Parteien in Deutschland. Jede davon würde bei Wahlen gerne Ihre Stimme bekommen. Sagen Sie mir bitte für jede der folgenden Parteien, wie wahrscheinlich es ist, dass Sie diese Partei jemals wählen werden. Benutzen Sie dazu bitte diese Skala.   - Der Skalenwert 1 bedeutet, dass dies für Sie sehr unwahrscheinlich ist,  - der Skalenwert 10 bedeutet, dass dies für Sie sehr wahrscheinlich ist.  Mit den Werten dazwischen können Sie Ihr Urteil abstufen.;&Bündnis 90 / die Grünen;&Keine Angabe&Weiß nicht&Kenne diese Partei nicht&Nicht erhoben 1980-2000, 2004, 2006, 2010-2016&Sehr unwahrscheinlich&..&..&..&..&..&..&..&..&Sehr wahrscheinlich;1 - Bündnis 90 / die Grünen;;;
50;ZA5274_Varpp04;POLIT. AKTIVITAET: DEMONSTRATION        ; In dieser Frage geht es um Verhaltensweisen, die verschiedene Leute manchmal gewählt haben, um gegen etwas zu protestieren oder um die Öffentlichkeit auf ihr Anliegen aufmerksam zu machen.  Ich lese Ihnen nun einige solcher Verhaltensweisen vor. Sagen Sie mir bitte zu jeder, ob Sie selbst sich bereits einmal an einer solchen Aktion beteiligt haben. Wenn Sie sich bisher noch nicht an einer derartigen Aktion beteiligt haben, sagen Sie bitte, ob Sie sich daran beteiligen würden, wenn es um eine wichtige Sache geht, oder ob Sie sich nur in einer ganz außergewöhnlichen Situation beteiligen würden, oder ob Sie sich unter keinen Umständen an einer solchen Aktion beteiligen würden.;&Genehmigte politische Demonstration;&2000 CAPI: keine Teilnahme an Split 1 (Code 2 in splt00)&Keine Angabe&Weiß nicht&Nicht erhoben 1980-1986, 1994-1998, 2002-2018&Habe mich bereits einmal an einer solchen Aktion beteiligt&Würde mich an einer solchen Aktion beteiligen, wenn es um eine wichtige Sache geht&Würde mich nur in einer ganz außergewöhnlichen Situation an einer solchen Aktion beteiligen&Würde mich unter keinen Umständen an einer solchen Aktion beteiligen&Kenne ich nicht;1 - Genehmigte politische Demonstration;;;
51;ZA5274_Varpp05;POLIT. AKTIVITAET: BESETZUNGSAKTION     ; In dieser Frage geht es um Verhaltensweisen, die verschiedene Leute manchmal gewählt haben, um gegen etwas zu protestieren oder um die Öffentlichkeit auf ihr Anliegen aufmerksam zu machen.  Ich lese Ihnen nun einige solcher Verhaltensweisen vor. Sagen Sie mir bitte zu jeder, ob Sie selbst sich bereits einmal an einer solchen Aktion beteiligt haben. Wenn Sie sich bisher noch nicht an einer derartigen Aktion beteiligt haben, sagen Sie bitte, ob Sie sich daran beteiligen würden, wenn es um eine wichtige Sache geht, oder ob Sie sich nur in einer ganz außergewöhnlichen Situation beteiligen würden, oder ob Sie sich unter keinen Umständen an einer solchen Aktion beteiligen würden.;&Besetzung von Fabriken, Ämtern und anderen Gebäuden;&Keine Angabe&Weiß nicht&Nicht erhoben 1980-1990, 1994-2018&Habe mich bereits einmal an einer solchen Aktion beteiligt&Würde mich an einer solchen Aktion beteiligen, wenn es um eine wichtige Sache geht&Würde mich nur in einer ganz außergewöhnlichen Situation an einer solchen Aktion beteiligen&Würde mich unter keinen Umständen an einer solchen Aktion beteiligen&Kenne ich nicht;1 - Besetzung von Fabriken, Ämtern und anderen Gebäuden;;;
52;ZA5274_Varpp16;GGFS. POLITISCHE GEGNER EINSCHUECHTERN  ;Wenn Sie politisch in einer Sache, die Ihnen wichtig ist, Einfluß nehmen, Ihren Standpunkt zur Geltung bringen wollten: Welche der Möglichkeiten auf diesen Karten würden Sie dann nutzen, was davon käme für Sie in Frage? Bitte nennen Sie mir die entsprechenden Kennbuchstaben.;&Politische Gegner einschüchtern;&Keine Angabe&Nicht erhoben 1980-1986, 1990-1996, 2000-2018&Nicht genannt&Genannt;1 - Politische Gegner einschüchtern;;;
53;ZA5274_Varpp19;GGFS. ANDERE PARTEI WAEHLEN             ;Wenn Sie politisch in einer Sache, die Ihnen wichtig ist, Einfluß nehmen, Ihren Standpunkt zur Geltung bringen wollten: Welche der Möglichkeiten auf diesen Karten würden Sie dann nutzen, was davon käme für Sie in Frage? Bitte nennen Sie mir die entsprechenden Kennbuchstaben.;&Aus Protest einmal eine andere Partei wählen als die, der man nahe steht;&Keine Angabe&Nicht erhoben 1980-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - Aus Protest einmal eine andere Partei wählen als die, der man nahe steht;;;
54;ZA5274_Varpp35;HABE AN GENEHMIGTER DEMO. TEILGENOMMEN  ;Was (<1998:> davon) haben Sie selbst schon gemacht, woran waren Sie schon einmal beteiligt? Geben Sie mir bitte die entsprechenden Kärtchen. ;&Teilnahme an einer genehmigten Demonstration;&Keine Angabe&Nicht erhoben 1980-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - Teilnahme an einer genehmigten Demonstration;;;
55;ZA5274_Varpp37;HABE ANDERE PARTEI GEWAEHLT             ;Was (<1998:> davon) haben Sie selbst schon gemacht, woran waren Sie schon einmal beteiligt? Geben Sie mir bitte die entsprechenden Kärtchen. ;&Aus Protest einmal eine andere Partei wählen als die, der man nahe steht;&Keine Angabe&Nicht erhoben 1980-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - Aus Protest einmal eine andere Partei wählen als die, der man nahe steht;;;
56;ZA5274_Varpp10;GGFS. IN EINER PARTEI MITARBEITEN       ;Wenn Sie politisch in einer Sache, die Ihnen wichtig ist, Einfluß nehmen, Ihren Standpunkt zur Geltung bringen wollten: Welche der Möglichkeiten auf diesen Karten würden Sie dann nutzen, was davon käme für Sie in Frage? Bitte nennen Sie mir die entsprechenden Kennbuchstaben.;&In einer Partei aktiv mitarbeiten;&Keine Angabe&Nicht erhoben 1980-1986, 1990-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - In einer Partei aktiv mitarbeiten;;;
57;ZA5274_Varpp12;GGFS. TEILNAHME AN UNGENEHMIGTER DEMO.  ;Wenn Sie politisch in einer Sache, die Ihnen wichtig ist, Einfluß nehmen, Ihren Standpunkt zur Geltung bringen wollten: Welche der Möglichkeiten auf diesen Karten würden Sie dann nutzen, was davon käme für Sie in Frage? Bitte nennen Sie mir die entsprechenden Kennbuchstaben.;&Teilnahme an einer nicht genehmigten Demonstration;&Keine Angabe&Nicht erhoben 1980-1986, 1990-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - Teilnahme an einer nicht genehmigten Demonstration;;;
58;ZA5274_Varpp28;HABE SCHON IN PARTEI MITGEARBEITET      ;Was (<1988:> davon) haben Sie selbst schon gemacht, woran waren Sie schon einmal beteiligt? Nennen Sie mir auch hier wieder die entsprechenden Kennbuchstaben.;&In einer Partei aktiv mitarbeiten;&Keine Angabe&Nicht erhoben 1980-1986, 1990-1996, 2000, 2004, 2006, 2010-2016&Nicht genannt&Genannt;1 - In einer Partei aktiv mitarbeiten;;;
59;ZA5274_Varpv15;FDP-SYMPATHIE-THERMOMETER               ;Mich würde interessieren, wie Sie heute über die folgenden Parteien CDU, SPD, CSU, FDP, NPD, DKP und 'Die Grünen' denken.;&Ganz allgemein: Was halten Sie von der CDU?&Und was halten Sie von der SPD?&Und was halten Sie von der CSU?&Und was halten Sie von der FDP?&<1980, 1984:> Und was halten Sie von der NPD? <1994:> Und was halten Sie von den 'Republikanern'?&<1980, 1984:> Und was halten Sie von der DKP? <1994:> Und was halten Sie von der PDS?&<1980, 1984:> Und was halten Sie von den 'Grünen'? <1994:> Und was halten Sie vom 'Bündnis 90/Die Grünen'?;&Keine Angabe&Weiß nicht&Verweigert&Nicht erhoben 1982, 1986-1992, 1996-2018&-5&-4&-3&-2&-1&0&+1&+2&+3&+4&+5;4 - Und was halten Sie von der FDP?;;;
60;ZA5274_Varpv05;WARUM KEINE BERECHTIG. Z.BUNDESTAGSWAHL?;Aus welchem Grund waren Sie nicht wahlberechtigt? Waren Sie - noch keine 18 Jahre alt, oder kein deutscher Staatsbürger?;;&Befragter war wahlberechtigt (Code 1 in pv02)&Keine Angabe&Nicht erhoben 1980-1990, 1994-2018&Noch keine 18 Jahre alt&Kein deutscher Staatsbürger;;;;
61;ZA5274_Varpv10;WAHLBERECHTIGT BEI LANDTAGSWAHL?        ; Hier in...;;&1988: Befragte aus West-Berlin&Keine Angabe&Nicht erhoben 1980-1986, 1990-1996, 2000-2018&Ja&Nein;;;;
62;ZA5274_Varmd14;ALLG.MEINUNG: DISKRIMINIERENDER UNTERN. ;Und was meinen Sie, wie beurteilen wohl die meisten Deutschen dieses Verhalten?;&Ein Unternehmer, der Personal abbauen muss, entlässt zuerst die ausländischen Arbeitnehmer.;&Keine Angabe&Nicht erhoben 1980-1994, 1998-2004, 2008-2018&völlig in Ordnung&eher in Ordnung&eher nicht in Ordnung&überhaupt nicht in Ordnung;1 - Ein Unternehmer, der Personal abbauen muss, entlässt zuerst die ausländischen Arbeitnehmer.;;;
63;ZA5274_Varfn04;WELCHES IST DIE IDEALE KINDERZAHL?      ;Was betrachten Sie heute als die ideale Größe einer Familie: Vater, Mutter und wieviele Kinder?;;&1988, 1994 und 2012: keine Teilnahme am ISSP&Keine Angabe&Weiß nicht&Verweigert&Nicht erhoben 1984, 1986, 1990-1992, 1996-2010, 2014-2018&Kein Kind;;;;
